sido_code,sigungu_code,emd_code,week_type,FRIN_CG,시도,시군구
11,11160,1116064,weekday,53.24,서울특별시,강서구
11,11100,1110062,weekday,37.19,서울특별시,도봉구
11,11240,1124058,weekday,40.23,서울특별시,송파구
11,11220,1122051,weekday,60.47,서울특별시,서초구
11,11070,1107065,weekday,52.15,서울특별시,중랑구
11,11190,1119054,weekday,49.94,서울특별시,영등포구
11,11220,1122064,weekday,24.23,서울특별시,서초구
11,11200,1120069,weekday,25.57,서울특별시,동작구
11,11240,1124060,weekday,36.16,서울특별시,송파구
11,11240,1124081,weekday,77.79,서울특별시,송파구
11,11140,1114063,weekday,70.91,서울특별시,마포구
11,11040,1104056,weekday,33.67,서울특별시,성동구
11,11110,1111052,weekday,37.38,서울특별시,노원구
11,11230,1123051,weekday,53.39,서울특별시,강남구
11,11050,1105060,weekday,74.69,서울특별시,광진구
11,11140,1114071,weekday,58.54,서울특별시,마포구
11,11060,1106080,weekday,53.71,서울특별시,동대문구
11,11120,1112056,weekday,68.21,서울특별시,은평구
11,11170,1117071,weekday,64.44,서울특별시,구로구
11,11120,1112059,weekday,38.18,서울특별시,은평구
11,11150,1115057,weekday,34.99,서울특별시,양천구
11,11210,1121062,weekday,38.86,서울특별시,관악구
11,11050,1105053,weekday,73.02,서울특별시,광진구
11,11160,1116067,weekday,34.39,서울특별시,강서구
11,11060,1106083,weekday,57.2,서울특별시,동대문구
11,11230,1123073,weekday,46.04,서울특별시,강남구
11,11220,1122053,weekday,39.2,서울특별시,서초구
11,11250,1125052,weekday,54.05,서울특별시,강동구
11,11240,1124069,weekday,49.46,서울특별시,송파구
11,11210,1121072,weekday,25.85,서울특별시,관악구
11,11150,1115064,weekday,50.53,서울특별시,양천구
11,11120,1112073,weekday,54.93,서울특별시,은평구
11,11040,1104054,weekday,38.91,서울특별시,성동구
11,11210,1121057,weekday,36.25,서울특별시,관악구
11,11010,1101061,weekday,68.1,서울특별시,종로구
11,11100,1110051,weekday,39.44,서울특별시,도봉구
11,11140,1114074,weekday,42.47,서울특별시,마포구
11,11150,1115058,weekday,33.78,서울특별시,양천구
11,11030,1103057,weekday,60.86,서울특별시,용산구
11,11200,1120052,weekday,18.41,서울특별시,동작구
11,11100,1110057,weekday,44.25,서울특별시,도봉구
11,11080,1108061,weekday,34.62,서울특별시,성북구
11,11100,1110065,weekday,41.73,서울특별시,도봉구
11,11220,1122063,weekday,38.49,서울특별시,서초구
11,11190,1119075,weekday,31.19,서울특별시,영등포구
11,11020,1102052,weekday,45.98,서울특별시,중구
11,11010,1101054,weekday,37.95,서울특별시,종로구
11,11110,1111065,weekday,70.72,서울특별시,노원구
11,11240,1124059,weekday,26.21,서울특별시,송파구
11,11200,1120055,weekday,41.8,서울특별시,동작구
11,11090,1109071,weekday,49.35,서울특별시,강북구
11,11090,1109072,weekday,57.08,서울특별시,강북구
11,11030,1103063,weekday,61.0,서울특별시,용산구
11,11100,1110053,weekday,59.71,서울특별시,도봉구
11,11180,1118052,weekday,61.69,서울특별시,금천구
11,11140,1114060,weekday,63.59,서울특별시,마포구
11,11030,1103064,weekday,71.49,서울특별시,용산구
11,11080,1108081,weekday,46.41,서울특별시,성북구
11,11050,1105056,weekday,88.45,서울특별시,광진구
11,11040,1104072,weekday,47.37,서울특별시,성동구
11,11130,1113074,weekday,92.46,서울특별시,서대문구
11,11020,1102060,weekday,50.85,서울특별시,중구
11,11230,1123063,weekday,51.52,서울특별시,강남구
11,11040,1104069,weekday,55.52,서울특별시,성동구
11,11190,1119066,weekday,37.45,서울특별시,영등포구
11,11040,1104071,weekday,50.36,서울특별시,성동구
11,11070,1107060,weekday,83.44,서울특별시,중랑구
11,11100,1110059,weekday,43.33,서울특별시,도봉구
11,11230,1123066,weekday,35.8,서울특별시,강남구
11,11200,1120067,weekday,59.32,서울특별시,동작구
11,11230,1123065,weekday,42.77,서울특별시,강남구
11,11210,1121061,weekday,41.37,서울특별시,관악구
11,11220,1122052,weekday,62.7,서울특별시,서초구
11,11200,1120065,weekday,34.28,서울특별시,동작구
11,11160,1116065,weekday,57.66,서울특별시,강서구
11,11160,1116073,weekday,38.51,서울특별시,강서구
11,11070,1107055,weekday,58.94,서울특별시,중랑구
11,11130,1113075,weekday,88.66,서울특별시,서대문구
11,11130,1113071,weekday,48.76,서울특별시,서대문구
11,11180,1118057,weekday,83.87,서울특별시,금천구
11,11210,1121078,weekday,27.49,서울특별시,관악구
11,11250,1125067,weekday,45.07,서울특별시,강동구
11,11050,1105058,weekday,63.46,서울특별시,광진구
11,11170,1117070,weekday,34.73,서울특별시,구로구
11,11070,1107052,weekday,68.19,서울특별시,중랑구
11,11250,1125065,weekday,32.95,서울특별시,강동구
11,11250,1125073,weekday,45.37,서울특별시,강동구
11,11130,1113052,weekday,82.91,서울특별시,서대문구
11,11150,1115072,weekday,30.42,서울특별시,양천구
11,11240,1124067,weekday,39.65,서울특별시,송파구
11,11180,1118053,weekday,37.16,서울특별시,금천구
11,11010,1101058,weekday,56.91,서울특별시,종로구
11,11190,1119056,weekday,41.81,서울특별시,영등포구
11,11160,1116057,weekday,15.51,서울특별시,강서구
11,11160,1116053,weekday,74.96,서울특별시,강서구
11,11070,1107073,weekday,78.07,서울특별시,중랑구
11,11150,1115063,weekday,43.01,서울특별시,양천구
11,11170,1117056,weekday,36.98,서울특별시,구로구
11,11160,1116072,weekday,45.86,서울특별시,강서구
11,11100,1110061,weekday,62.45,서울특별시,도봉구
11,11240,1124065,weekday,61.25,서울특별시,송파구
11,11240,1124079,weekday,47.77,서울특별시,송파구
11,11220,1122059,weekday,67.04,서울특별시,서초구
11,11240,1124082,weekday,62.34,서울특별시,송파구
11,11070,1107072,weekday,42.49,서울특별시,중랑구
11,11110,1111053,weekday,48.28,서울특별시,노원구
11,11180,1118060,weekday,63.69,서울특별시,금천구
11,11020,1102070,weekday,26.56,서울특별시,중구
11,11240,1124080,weekday,55.9,서울특별시,송파구
11,11170,1117055,weekday,35.18,서울특별시,구로구
11,11010,1101064,weekday,35.73,서울특별시,종로구
11,11080,1108071,weekday,40.24,서울특별시,성북구
11,11240,1124071,weekday,34.26,서울특별시,송파구
11,11030,1103072,weekday,41.23,서울특별시,용산구
11,11010,1101060,weekday,60.55,서울특별시,종로구
11,11220,1122068,weekday,32.05,서울특별시,서초구
11,11120,1112071,weekday,69.03,서울특별시,은평구
11,11070,1107064,weekday,70.28,서울특별시,중랑구
11,11110,1111060,weekday,45.92,서울특별시,노원구
11,11210,1121064,weekday,47.11,서울특별시,관악구
11,11170,1117061,weekday,49.99,서울특별시,구로구
