집계일자,콘존ID,DSRC차종유형구분코드,평균속도
20220201,0010CZS110,1,0
20220201,0010CZS110,2,0
20220201,0010CZS120,1,98.07
20220201,0010CZS120,2,92.89
20220201,0010CZS130,1,95.99
20220201,0010CZS130,2,83.81
20220201,0010CZS140,1,90.69
20220201,0010CZS140,2,86.11
20220201,0010CZS150,1,92.43
20220201,0010CZS150,2,86.2
20220201,0010CZS160,1,96.02
20220201,0010CZS160,2,94.77
20220201,0010CZS170,1,82.43
20220201,0010CZS170,2,87.7
20220201,0010CZS180,1,91.18
20220201,0010CZS180,2,86.2
20220201,0010CZS190,1,0
20220201,0010CZS190,2,0
20220201,0010CZS200,1,0
20220201,0010CZS200,2,0
20220201,0010CZS205,1,108.36
20220201,0010CZS205,2,98.82
20220201,0010CZS210,1,99.14
20220201,0010CZS210,2,100.45
20220201,0010CZS215,1,95.08
20220201,0010CZS215,2,103.22
20220201,0010CZS220,1,96.53
20220201,0010CZS220,2,102.3
20220201,0010CZS230,1,90.42
20220201,0010CZS230,2,100.32
20220201,0010CZS240,1,92.21
20220201,0010CZS240,2,100.36
20220201,0010CZS250,1,88.69
20220201,0010CZS250,2,68.18
20220201,0010CZS260,1,70.54
20220201,0010CZS260,2,49.28
20220201,0010CZS270,1,99.42
20220201,0010CZS270,2,105.52
20220201,0010CZS280,1,99
20220201,0010CZS280,2,100.17
20220201,0010CZS290,1,96.54
20220201,0010CZS290,2,95.56
20220201,0010CZS300,1,94.41
20220201,0010CZS300,2,96.49
20220201,0010CZS310,1,75.86
20220201,0010CZS310,2,89.17
20220201,0010CZS320,1,90.46
20220201,0010CZS320,2,98.38
20220201,0010CZS330,1,93.5
20220201,0010CZS330,2,102.9
20220201,0010CZS340,1,95.32
20220201,0010CZS340,2,102.65
20220201,0010CZS350,1,79.18
20220201,0010CZS350,2,94.69
20220201,0010CZS355,1,87.14
20220201,0010CZS355,2,95.07
20220201,0010CZS357,1,79.79
20220201,0010CZS357,2,99.91
20220201,0010CZS360,1,81.41
20220201,0010CZS360,2,98.28
20220201,0010CZS370,1,81.14
20220201,0010CZS370,2,96.17
20220201,0010CZS380,1,70.2
20220201,0010CZS380,2,94.79
20220201,0010CZS385,1,79.87
20220201,0010CZS385,2,89.37
20220201,0010CZS390,1,82.66
20220201,0010CZS390,2,95.25
20220201,0010CZS400,1,88.31
20220201,0010CZS400,2,99.24
20220201,0010CZS410,1,87.26
20220201,0010CZS410,2,98.29
20220201,0010CZS420,1,93.25
20220201,0010CZS420,2,102.43
20220201,0010CZS430,1,46.82
20220201,0010CZS430,2,50.8
20220201,0010CZS440,1,71.93
20220201,0010CZS440,2,92.81
20220201,0010CZS450,1,75.52
20220201,0010CZS450,2,92.34
20220201,0010CZS460,1,74.94
20220201,0010CZS460,2,87.03
20220201,0010CZS470,1,86.04
20220201,0010CZS470,2,94.49
20220201,0010CZS480,1,46.64
20220201,0010CZS480,2,49.44
