sido_code,sigungu_code,emd_code,week_type,velocity_CG_AVRG,시도,시군구
11,11150,1115052,weekday,16.14,서울특별시,양천구
11,11230,1123051,weekday,16.59,서울특별시,강남구
11,11180,1118053,weekday,14.57,서울특별시,금천구
11,11140,1114069,weekday,19.94,서울특별시,마포구
11,11120,1112065,weekday,16.62,서울특별시,은평구
11,11050,1105061,weekday,18.45,서울특별시,광진구
11,11160,1116051,weekday,17.6,서울특별시,강서구
11,11070,1107062,weekday,21.62,서울특별시,중랑구
11,11050,1105058,weekday,16.24,서울특별시,광진구
11,11160,1116061,weekday,13.45,서울특별시,강서구
11,11110,1111064,weekday,14.16,서울특별시,노원구
11,11090,1109062,weekday,15.47,서울특별시,강북구
11,11220,1122067,weekday,19.76,서울특별시,서초구
11,11070,1107069,weekday,22.56,서울특별시,중랑구
11,11010,1101053,weekday,17.41,서울특별시,종로구
11,11140,1114078,weekday,17.23,서울특별시,마포구
11,11160,1116071,weekday,29.93,서울특별시,강서구
11,11130,1113066,weekday,14.09,서울특별시,서대문구
11,11030,1103074,weekday,16.71,서울특별시,용산구
11,11230,1123068,weekday,21.19,서울특별시,강남구
11,11070,1107064,weekday,18.25,서울특별시,중랑구
11,11230,1123077,weekday,16.29,서울특별시,강남구
11,11140,1114066,weekday,14.55,서울특별시,마포구
11,11170,1117054,weekday,13.23,서울특별시,구로구
11,11030,1103072,weekday,13.95,서울특별시,용산구
11,11200,1120056,weekday,14.9,서울특별시,동작구
11,11210,1121063,weekday,20.21,서울특별시,관악구
11,11110,1111053,weekday,19.04,서울특별시,노원구
11,11130,1113068,weekday,16.4,서울특별시,서대문구
11,11220,1122065,weekday,13.94,서울특별시,서초구
11,11130,1113074,weekday,17.12,서울특별시,서대문구
11,11010,1101070,weekday,15.39,서울특별시,종로구
11,11030,1103051,weekday,17.37,서울특별시,용산구
11,11010,1101072,weekday,16.46,서울특별시,종로구
11,11160,1116063,weekday,13.51,서울특별시,강서구
11,11040,1104072,weekday,13.49,서울특별시,성동구
11,11030,1103063,weekday,16.1,서울특별시,용산구
11,11130,1113065,weekday,12.0,서울특별시,서대문구
11,11020,1102055,weekday,12.9,서울특별시,중구
11,11200,1120063,weekday,13.49,서울특별시,동작구
11,11050,1105054,weekday,16.61,서울특별시,광진구
11,11200,1120055,weekday,12.13,서울특별시,동작구
11,11240,1124051,weekday,32.25,서울특별시,송파구
11,11250,1125058,weekday,24.78,서울특별시,강동구
11,11150,1115069,weekday,13.56,서울특별시,양천구
11,11110,1111077,weekday,18.22,서울특별시,노원구
11,11190,1119076,weekday,15.71,서울특별시,영등포구
11,11090,1109071,weekday,14.4,서울특별시,강북구
11,11210,1121069,weekday,13.64,서울특별시,관악구
11,11190,1119061,weekday,16.75,서울특별시,영등포구
11,11230,1123059,weekday,14.24,서울특별시,강남구
11,11030,1103071,weekday,15.09,서울특별시,용산구
11,11080,1108063,weekday,20.64,서울특별시,성북구
