집계일자,콘존ID,DSRC차종유형구분코드,평균속도
20220101,0010CZE005,1,0
20220101,0010CZE005,2,0
20220101,0010CZE010,1,0
20220101,0010CZE010,2,0
20220101,0010CZE011,1,44.92
20220101,0010CZE011,2,31.14
20220101,0010CZE020,1,92.26
20220101,0010CZE020,2,94.98
20220101,0010CZE030,1,86.99
20220101,0010CZE030,2,87.13
20220101,0010CZE035,1,0
20220101,0010CZE035,2,0
20220101,0010CZE040,1,95.02
20220101,0010CZE040,2,90.25
20220101,0010CZE050,1,101.11
20220101,0010CZE050,2,86.6
20220101,0010CZE055,1,101.24
20220101,0010CZE055,2,84.53
20220101,0010CZE060,1,51.69
20220101,0010CZE060,2,43.29
20220101,0010CZE065,1,0
20220101,0010CZE065,2,0
20220101,0010CZE070,1,100.29
20220101,0010CZE070,2,83.65
20220101,0010CZE080,1,78.9
20220101,0010CZE080,2,87.66
20220101,0010CZE085,1,48.09
20220101,0010CZE085,2,48.32
20220101,0010CZE090,1,31.75
20220101,0010CZE090,2,29.77
20220101,0010CZE100,1,0
20220101,0010CZE100,2,0
20220101,0010CZE105,1,0
20220101,0010CZE105,2,0
20220101,0010CZE110,1,0
20220101,0010CZE110,2,0
20220101,0010CZE120,1,0
20220101,0010CZE120,2,0
20220101,0010CZE130,1,99.41
20220101,0010CZE130,2,85.66
20220101,0010CZE140,1,103.62
20220101,0010CZE140,2,87.61
20220101,0010CZE150,1,105.39
20220101,0010CZE150,2,87
20220101,0010CZE160,1,102.16
20220101,0010CZE160,2,85.12
20220101,0010CZE170,1,79.44
20220101,0010CZE170,2,84.39
20220101,0010CZE180,1,85.03
20220101,0010CZE180,2,76.78
20220101,0010CZE190,1,0
20220101,0010CZE190,2,0
20220101,0010CZE200,1,0
20220101,0010CZE200,2,0
20220101,0010CZE205,1,107.33
20220101,0010CZE205,2,87.67
20220101,0010CZE210,1,95.71
20220101,0010CZE210,2,87.66
20220101,0010CZE215,1,90.78
20220101,0010CZE215,2,84.47
20220101,0010CZE220,1,95.57
20220101,0010CZE220,2,83.98
20220101,0010CZE230,1,91.76
20220101,0010CZE230,2,84.73
20220101,0010CZE240,1,91.39
20220101,0010CZE240,2,84.47
20220101,0010CZE250,1,91.75
20220101,0010CZE250,2,78.48
20220101,0010CZE260,1,75.72
20220101,0010CZE260,2,69.41
20220101,0010CZE270,1,101.31
20220101,0010CZE270,2,92.53
20220101,0010CZE280,1,102.92
20220101,0010CZE280,2,91.06
20220101,0010CZE290,1,103.96
20220101,0010CZE290,2,93.74
20220101,0010CZE300,1,98.52
20220101,0010CZE300,2,82.2
20220101,0010CZE310,1,85.27
20220101,0010CZE310,2,81.89
20220101,0010CZE320,1,93.76
20220101,0010CZE320,2,89.3
20220101,0010CZE330,1,101.33
20220101,0010CZE330,2,96.86
20220101,0010CZE340,1,105.4
20220101,0010CZE340,2,100.11
20220101,0010CZE350,1,90.88
20220101,0010CZE350,2,92.94
20220101,0010CZE355,1,92.71
20220101,0010CZE355,2,91.33
20220101,0010CZE357,1,92.94
20220101,0010CZE357,2,95.6
20220101,0010CZE360,1,96.98
20220101,0010CZE360,2,94.99
20220101,0010CZE370,1,83.14
20220101,0010CZE370,2,88.78
20220101,0010CZE380,1,98.63
20220101,0010CZE380,2,93.08
20220101,0010CZE385,1,94.48
20220101,0010CZE385,2,91.74
20220101,0010CZE390,1,96.41
20220101,0010CZE390,2,93.26
20220101,0010CZE400,1,95.47
20220101,0010CZE400,2,97.61
20220101,0010CZE410,1,92.54
20220101,0010CZE410,2,91.68
20220101,0010CZE420,1,96.14
20220101,0010CZE420,2,95.45
20220101,0010CZE430,1,51.02
20220101,0010CZE430,2,50.74
20220101,0010CZE440,1,86.62
20220101,0010CZE440,2,88.81
20220101,0010CZE450,1,83.55
20220101,0010CZE450,2,82.66
20220101,0010CZE460,1,78.3
20220101,0010CZE460,2,87.9
20220101,0010CZE470,1,89.97
20220101,0010CZE470,2,89.43
20220101,0010CZE480,1,47.76
20220101,0010CZE480,2,46.41
20220101,0010CZE490,1,107.67
20220101,0010CZE490,2,101.53
20220101,0010CZE500,1,53.05
20220101,0010CZE500,2,52.44
20220101,0010CZE505,1,89.35
20220101,0010CZE505,2,94.51
20220101,0010CZE510,1,0
20220101,0010CZE510,2,0
20220101,0010CZE520,1,0
20220101,0010CZE520,2,0
20220101,0010CZE521,1,0
20220101,0010CZE521,2,0
20220101,0010CZE522,1,0
20220101,0010CZE522,2,0
20220101,0010CZS005,1,0
20220101,0010CZS005,2,0
20220101,0010CZS010,1,0
20220101,0010CZS010,2,0
20220101,0010CZS011,1,50.3
20220101,0010CZS011,2,53.87
20220101,0010CZS020,1,99.37
20220101,0010CZS020,2,85.87
20220101,0010CZS030,1,95.01
20220101,0010CZS030,2,88.35
20220101,0010CZS035,1,0
20220101,0010CZS035,2,0
20220101,0010CZS040,1,98.92
20220101,0010CZS040,2,91.42
20220101,0010CZS050,1,88.42
20220101,0010CZS050,2,82.59
20220101,0010CZS055,1,94.74
20220101,0010CZS055,2,89.51
20220101,0010CZS060,1,51.59
20220101,0010CZS060,2,0
20220101,0010CZS065,1,0
20220101,0010CZS065,2,0
20220101,0010CZS070,1,103.4
20220101,0010CZS070,2,85.71
20220101,0010CZS080,1,95.19
20220101,0010CZS080,2,89.09
20220101,0010CZS085,1,63.17
20220101,0010CZS085,2,0
20220101,0010CZS090,1,59.18
20220101,0010CZS090,2,56.16
20220101,0010CZS100,1,0
20220101,0010CZS100,2,0
20220101,0010CZS105,1,0
20220101,0010CZS105,2,0
20220101,0010CZS110,1,0
20220101,0010CZS110,2,0
20220101,0010CZS120,1,0
20220101,0010CZS120,2,0
20220101,0010CZS130,1,95.53
20220101,0010CZS130,2,76.29
20220101,0010CZS140,1,96.42
20220101,0010CZS140,2,82.98
20220101,0010CZS150,1,98.88
20220101,0010CZS150,2,87
20220101,0010CZS160,1,97.91
20220101,0010CZS160,2,88.67
20220101,0010CZS170,1,82.28
20220101,0010CZS170,2,79.97
20220101,0010CZS180,1,90.9
20220101,0010CZS180,2,76.66
20220101,0010CZS190,1,0
20220101,0010CZS190,2,0
20220101,0010CZS200,1,0
20220101,0010CZS200,2,0
20220101,0010CZS205,1,108.81
20220101,0010CZS205,2,89.14
20220101,0010CZS210,1,100.88
20220101,0010CZS210,2,82.76
20220101,0010CZS215,1,96.45
20220101,0010CZS215,2,82.17
20220101,0010CZS220,1,99.53
20220101,0010CZS220,2,89.18
20220101,0010CZS230,1,93.03
20220101,0010CZS230,2,83.53
20220101,0010CZS240,1,91.02
20220101,0010CZS240,2,85.58
20220101,0010CZS250,1,87.67
20220101,0010CZS250,2,72.08
20220101,0010CZS260,1,69.18
20220101,0010CZS260,2,62.79
20220101,0010CZS270,1,102.61
20220101,0010CZS270,2,99.2
20220101,0010CZS280,1,101.31
20220101,0010CZS280,2,93.61
20220101,0010CZS290,1,98.13
20220101,0010CZS290,2,90.91
20220101,0010CZS300,1,94.9
20220101,0010CZS300,2,93.88
20220101,0010CZS310,1,78.85
20220101,0010CZS310,2,84.09
20220101,0010CZS320,1,96.1
20220101,0010CZS320,2,93.05
20220101,0010CZS330,1,99.52
20220101,0010CZS330,2,98.78
20220101,0010CZS340,1,101.11
20220101,0010CZS340,2,97.43
20220101,0010CZS350,1,86
20220101,0010CZS350,2,90.78
20220101,0010CZS355,1,96.08
20220101,0010CZS355,2,92.15
20220101,0010CZS357,1,85.73
20220101,0010CZS357,2,96.87
20220101,0010CZS360,1,87.06
20220101,0010CZS360,2,93.99
20220101,0010CZS370,1,87.32
20220101,0010CZS370,2,93.93
20220101,0010CZS380,1,86.08
20220101,0010CZS380,2,94.91
20220101,0010CZS385,1,96.52
20220101,0010CZS385,2,90.97
20220101,0010CZS390,1,96.15
20220101,0010CZS390,2,96.38
20220101,0010CZS400,1,96.12
20220101,0010CZS400,2,100.2
20220101,0010CZS410,1,92.85
20220101,0010CZS410,2,98.4
