sido_code,sigungu_code,emd_code,week_type,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT,시도,시군구
11,11220,1122066,weekday,19194,15604,341,3249,서울특별시,서초구
11,11140,1114076,weekday,21500,16779,525,4196,서울특별시,마포구
11,11190,1119055,weekday,7904,6250,49,1604,서울특별시,영등포구
11,11230,1123060,weekday,9488,8013,65,1410,서울특별시,강남구
11,11080,1108059,weekday,2840,2218,11,610,서울특별시,성북구
11,11030,1103058,weekday,7341,5755,41,1545,서울특별시,용산구
11,11100,1110052,weekday,10071,8636,30,1405,서울특별시,도봉구
11,11010,1101070,weekday,11340,8936,59,2345,서울특별시,종로구
11,11200,1120065,weekday,7470,6011,37,1422,서울특별시,동작구
11,11080,1108077,weekday,19326,14671,260,4395,서울특별시,성북구
11,11160,1116057,weekday,21674,17099,183,4393,서울특별시,강서구
11,11190,1119075,weekday,9523,7398,51,2073,서울특별시,영등포구
11,11150,1115058,weekday,13916,11033,99,2784,서울특별시,양천구
11,11140,1114074,weekday,17785,14170,243,3372,서울특별시,마포구
11,11090,1109075,weekday,8490,7237,20,1234,서울특별시,강북구
11,11170,1117071,weekday,12503,9403,90,3010,서울특별시,구로구
11,11090,1109063,weekday,9415,7994,24,1397,서울특별시,강북구
11,11150,1115061,weekday,8188,6554,51,1583,서울특별시,양천구
11,11020,1102069,weekday,9595,7461,50,2084,서울특별시,중구
11,11210,1121072,weekday,12470,9656,79,2736,서울특별시,관악구
11,11230,1123073,weekday,28621,22722,417,5482,서울특별시,강남구
11,11220,1122059,weekday,24617,19293,734,4590,서울특별시,서초구
11,11070,1107054,weekday,16127,12805,172,3150,서울특별시,중랑구
11,11200,1120070,weekday,4909,3811,24,1074,서울특별시,동작구
11,11210,1121061,weekday,20465,16269,133,4063,서울특별시,관악구
11,11100,1110059,weekday,10006,8461,40,1505,서울특별시,도봉구
11,11040,1104071,weekday,7447,5803,38,1606,서울특별시,성동구
11,11080,1108060,weekday,6131,4780,28,1323,서울특별시,성북구
11,11030,1103069,weekday,23893,18797,484,4612,서울특별시,용산구
11,11230,1123063,weekday,6828,5771,53,1004,서울특별시,강남구
11,11180,1118057,weekday,22076,16559,300,5217,서울특별시,금천구
11,11210,1121078,weekday,10959,8657,72,2230,서울특별시,관악구
11,11110,1111073,weekday,8859,7323,46,1491,서울특별시,노원구
11,11140,1114060,weekday,10540,8513,61,1967,서울특별시,마포구
11,11150,1115072,weekday,17694,13962,129,3603,서울특별시,양천구
11,11100,1110053,weekday,8872,7610,22,1239,서울특별시,도봉구
11,11190,1119056,weekday,21397,17185,229,3982,서울특별시,영등포구
11,11190,1119054,weekday,19959,15533,171,4255,서울특별시,영등포구
11,11030,1103070,weekday,19934,15779,433,3721,서울특별시,용산구
11,11250,1125056,weekday,26075,19974,582,5519,서울특별시,강동구
11,11040,1104072,weekday,9491,7427,63,2001,서울특별시,성동구
11,11030,1103073,weekday,11806,9420,64,2322,서울특별시,용산구
11,11090,1109060,weekday,15276,12870,58,2348,서울특별시,강북구
11,11110,1111051,weekday,4677,3969,14,694,서울특별시,노원구
11,11140,1114073,weekday,16707,13625,110,2972,서울특별시,마포구
11,11080,1108066,weekday,3675,3054,13,608,서울특별시,성북구
11,11140,1114071,weekday,7115,5944,30,1141,서울특별시,마포구
11,11010,1101055,weekday,19050,15110,103,3837,서울특별시,종로구
11,11160,1116074,weekday,6724,5329,40,1356,서울특별시,강서구
11,11240,1124055,weekday,3017,2757,8,252,서울특별시,송파구
11,11010,1101073,weekday,6793,5427,35,1331,서울특별시,종로구
11,11070,1107073,weekday,5477,4463,50,964,서울특별시,중랑구
11,11240,1124052,weekday,18421,14654,250,3516,서울특별시,송파구
11,11140,1114061,weekday,7762,6262,45,1455,서울특별시,마포구
11,11240,1124067,weekday,6463,5652,25,786,서울특별시,송파구
11,11250,1125067,weekday,15345,13013,93,2239,서울특별시,강동구
11,11040,1104056,weekday,11135,8697,68,2371,서울특별시,성동구
11,11220,1122060,weekday,18768,15306,161,3301,서울특별시,서초구
11,11230,1123053,weekday,12846,10547,105,2194,서울특별시,강남구
11,11050,1105062,weekday,16164,12684,191,3289,서울특별시,광진구
11,11100,1110061,weekday,8531,7317,25,1188,서울특별시,도봉구
11,11190,1119067,weekday,8272,6494,42,1736,서울특별시,영등포구
11,11150,1115070,weekday,9425,7100,112,2213,서울특별시,양천구
11,11050,1105059,weekday,15242,11640,101,3501,서울특별시,광진구
11,11040,1104068,weekday,5649,4358,29,1262,서울특별시,성동구
11,11110,1111060,weekday,5609,4683,25,901,서울특별시,노원구
11,11010,1101060,weekday,3828,2950,16,862,서울특별시,종로구
11,11210,1121065,weekday,6665,5016,36,1613,서울특별시,관악구
11,11010,1101067,weekday,18517,14601,112,3803,서울특별시,종로구
11,11230,1123074,weekday,21094,16722,256,4117,서울특별시,강남구
11,11250,1125071,weekday,9451,8107,43,1300,서울특별시,강동구
11,11080,1108068,weekday,19455,15358,127,3970,서울특별시,성북구
11,11250,1125072,weekday,6874,5938,20,915,서울특별시,강동구
11,11100,1110054,weekday,6070,5247,13,809,서울특별시,도봉구
11,11240,1124057,weekday,11669,9982,68,1619,서울특별시,송파구
11,11090,1109070,weekday,9347,7939,32,1375,서울특별시,강북구
11,11150,1115054,weekday,11476,8881,71,2525,서울특별시,양천구
11,11130,1113072,weekday,6331,5223,21,1087,서울특별시,서대문구
11,11140,1114070,weekday,24539,19446,360,4733,서울특별시,마포구
11,11080,1108078,weekday,12736,10443,62,2231,서울특별시,성북구
11,11020,1102071,weekday,7864,6136,50,1678,서울특별시,중구
11,11160,1116054,weekday,7058,5636,39,1382,서울특별시,강서구
11,11180,1118051,weekday,12106,8955,114,3037,서울특별시,금천구
11,11060,1106073,weekday,16626,12896,182,3547,서울특별시,동대문구
11,11130,1113073,weekday,8423,6584,51,1787,서울특별시,서대문구
11,11080,1108065,weekday,7661,6383,25,1254,서울특별시,성북구
11,11160,1116055,weekday,12428,9795,81,2552,서울특별시,강서구
11,11160,1116058,weekday,9093,7113,53,1927,서울특별시,강서구
11,11070,1107057,weekday,8696,6964,82,1651,서울특별시,중랑구
11,11200,1120068,weekday,8377,6621,51,1706,서울특별시,동작구
11,11240,1124078,weekday,10167,8618,81,1467,서울특별시,송파구
11,11230,1123075,weekday,17169,14058,192,2920,서울특별시,강남구
11,11080,1108085,weekday,14045,10794,95,3156,서울특별시,성북구
11,11190,1119072,weekday,10611,8143,58,2409,서울특별시,영등포구
11,11250,1125054,weekday,5516,4811,12,693,서울특별시,강동구
11,11210,1121080,weekday,12030,9489,82,2460,서울특별시,관악구
11,11020,1102054,weekday,11947,9334,65,2547,서울특별시,중구
11,11190,1119073,weekday,7748,6002,39,1706,서울특별시,영등포구
11,11240,1124061,weekday,13394,11378,94,1923,서울특별시,송파구
11,11080,1108076,weekday,6632,5488,22,1122,서울특별시,성북구
11,11120,1112058,weekday,9486,7802,36,1648,서울특별시,은평구
11,11100,1110063,weekday,10144,8556,41,1547,서울특별시,도봉구
11,11090,1109071,weekday,12647,10633,50,1964,서울특별시,강북구
11,11020,1102065,weekday,12493,9774,69,2650,서울특별시,중구
11,11030,1103059,weekday,4686,3631,22,1033,서울특별시,용산구
11,11140,1114075,weekday,7958,6260,98,1600,서울특별시,마포구
11,11110,1111065,weekday,21238,16074,361,4803,서울특별시,노원구
11,11170,1117056,weekday,6518,4949,24,1545,서울특별시,구로구
11,11150,1115062,weekday,12937,10278,88,2570,서울특별시,양천구
11,11120,1112074,weekday,8566,7086,30,1449,서울특별시,은평구
11,11090,1109074,weekday,6170,5383,10,777,서울특별시,강북구
11,11150,1115065,weekday,11659,8859,96,2705,서울특별시,양천구
11,11200,1120055,weekday,6102,4854,29,1219,서울특별시,동작구
11,11220,1122065,weekday,10241,8213,66,1961,서울특별시,서초구
11,11070,1107052,weekday,15094,12053,123,2919,서울특별시,중랑구
11,11060,1106084,weekday,9369,7208,56,2105,서울특별시,동대문구
11,11100,1110064,weekday,10803,9090,41,1672,서울특별시,도봉구
11,11130,1113075,weekday,15560,12563,115,2882,서울특별시,서대문구
11,11110,1111072,weekday,16340,12648,196,3496,서울특별시,노원구
